('Alex Rogers', 'BARBARIAN', 'HALFLING', 15187, 20)
('Larry Martin', 'ROGUE', 'DWARF', 11964, 14)
('Morgan Smith', 'WIZARD', 'HUMAN', 1395, 17)
('Lisa Martinez', 'ROGUE', 'DWARF', 12838, 20)
('Brooke Evans', 'PALADIN', 'HALF_ORC', 9239, 15)
('Vicki Thomas', 'ARTIFICER', 'DWARF', 10068, 14)
('Michael Martinez', 'SORCERER', 'TIEFLING', 3937, 1)
('Cheryl Mccullough', 'RANGER', 'DRAGONBORN', 36, 18)
('Christian Smith', 'PALADIN', 'HALFLING', 12448, 9)
('Justin Hayes', 'SORCERER', 'DRAGONBORN', 5564, 14)
('Andrew Turner', 'MONK', 'TIEFLING', 14465, 13)
('Phillip Lindsey', 'SORCERER', 'HALFLING', 12217, 11)
('Sarah Peters', 'RANGER', 'HALF_ELF', 16873, 5)
('Mark Barnes', 'WIZARD', 'HALF_ORC', 8550, 12)
('Jessica Martinez', 'WARLOCK', 'HALFLING', 14691, 14)
('Todd Williams', 'PALADIN', 'HALF_ORC', 781, 4)
('William Lam', 'BARD', 'DRAGONBORN', 14870, 12)
('Jacob Jones', 'WIZARD', 'HALF_ELF', 19381, 1)
('James Hensley', 'ROGUE', 'GNOME', 11352, 15)
('Erik Brown', 'MONK', 'ELF', 18986, 15)
('Kellie Murray', 'CLERIC', 'HALFLING', 5451, 14)
('Steve Davis', 'DRUID', 'HALF_ELF', 13122, 12)
('Jose Scott', 'BARD', 'DRAGONBORN', 13561, 11)
('Samuel Carey', 'ARTIFICER', 'HALFLING', 19831, 7)
('Krystal Elliott', 'DRUID', 'ELF', 1983, 5)
('Johnathan Wilson', 'PALADIN', 'GNOME', 527, 4)
('Carlos Hill', 'MONK', 'DRAGONBORN', 10424, 1)
('Christy Noble', 'PALADIN', 'HALFLING', 19298, 4)
('Mark Olson', 'PALADIN', 'GNOME', 8650, 11)
('Patricia Ellison', 'SORCERER', 'GNOME', 13728, 8)
('Tiffany Taylor', 'PALADIN', 'HUMAN', 13469, 1)
('Corey Johnson', 'PALADIN', 'DRAGONBORN', 8120, 11)
('Diana Frederick', 'MONK', 'GNOME', 19835, 1)
('Kevin Hawkins', 'PALADIN', 'HALFLING', 11287, 15)
('Angela Smith', 'ARTIFICER', 'HALF_ORC', 17261, 2)
('Jeffrey Tran', 'FIGHTER', 'HALF_ELF', 15504, 2)
('Tobi Aba', 'ROGUE', 'DWARF', 14084, 14)
('William Aguilar', 'ROGUE', 'DWARF', 14084, 14)
('Donna Frey', 'BARD', 'HALF_ELF', 19672, 17)
('Crystal Castro', 'ARTIFICER', 'ELF', 18072, 12)
('Matthew Tapia', 'PALADIN', 'ELF', 7316, 8)
('Angel Pittman', 'WIZARD', 'DRAGONBORN', 8885, 15)
('Justin Bautista', 'PALADIN', 'GNOME', 9365, 20)
('Jessica Oliver', 'ARTIFICER', 'DWARF', 18842, 1)
('Wesley Mercado', 'WARLOCK', 'DWARF', 17983, 15)
('David Lee', 'FIGHTER', 'DRAGONBORN', 5983, 18)
('Anthony Baker', 'CLERIC', 'HALF_ORC', 7389, 6)
('Stephanie Mcfarland', 'CLERIC', 'HALFLING', 7307, 16)
('David Fernandez', 'WARLOCK', 'DWARF', 13475, 14)
('Denise Porter', 'WIZARD', 'TIEFLING', 12339, 17)
('Sarah Rollins', 'DRUID', 'HUMAN', 13085, 9)
('Edward Meyer', 'FIGHTER', 'TIEFLING', 8868, 12)
('Allison Newton', 'PALADIN', 'ELF', 6744, 12)
('David York', 'RANGER', 'HUMAN', 6623, 15)
('Laura Paul', 'BARBARIAN', 'GNOME', 1261, 11)
('Justin Marshall', 'DRUID', 'GNOME', 18145, 19)
('Thomas Williams', 'ARTIFICER', 'DWARF', 10365, 12)
('Ashley Cordova', 'MONK', 'TIEFLING', 7346, 2)
('Jonathan Mccoy', 'BARD', 'TIEFLING', 6132, 13)
('Victor Nichols', 'WARLOCK', 'DRAGONBORN', 15995, 12)
('Ricardo Henderson', 'WIZARD', 'HALFLING', 16020, 12)
('Michael King', 'ARTIFICER', 'DWARF', 4254, 6)
('Samuel Mullins', 'DRUID', 'ELF', 18369, 17)
('Stephanie Bell', 'BARD', 'HALF_ELF', 8170, 8)
('Diane Avila', 'DRUID', 'HALF_ELF', 18619, 13)
('April Gonzalez', 'DRUID', 'HUMAN', 18919, 15)
('Scott Gomez', 'FIGHTER', 'HALF_ORC', 9522, 20)
('Nicholas Leblanc', 'ARTIFICER', 'TIEFLING', 17896, 9)
('Ryan Rodriguez', 'CLERIC', 'GNOME', 7461, 15)
('Randall Johnson', 'WARLOCK', 'HALF_ELF', 19570, 20)
('Pamela Weber', 'RANGER', 'TIEFLING', 12287, 8)
('Daniel Gray', 'ROGUE', 'HALF_ORC', 5770, 3)
('Eric Yates', 'SORCERER', 'GNOME', 6042, 13)
('Philip Miller', 'RANGER', 'GNOME', 7599, 13)
('Mr. Brian Lucas', 'SORCERER', 'TIEFLING', 398, 8)
('Patrick Palmer', 'WIZARD', 'GNOME', 3686, 16)
('Blake Thompson', 'BARD', 'HALF_ELF', 14859, 16)
('Zachary Harris', 'WARLOCK', 'HALF_ELF', 13712, 12)
('Jamie Mccoy', 'ARTIFICER', 'HALF_ORC', 7253, 13)
('Hannah Garcia', 'MONK', 'HALF_ORC', 14044, 5)
('Bruce Franklin', 'BARBARIAN', 'TIEFLING', 19714, 2)
('Benjamin King', 'FIGHTER', 'HALF_ORC', 16888, 18)
('Steven Payne', 'BARD', 'TIEFLING', 17089, 15)
('Dawn Johnson', 'CLERIC', 'HALF_ORC', 7496, 8)
('Patrick Martin', 'PALADIN', 'HALF_ELF', 19845, 8)
('Kristi Sanchez', 'ROGUE', 'ELF', 13261, 20)
('Jason Grant', 'ROGUE', 'HALF_ORC', 12032, 14)
('Sierra Chavez', 'BARD', 'HALFLING', 2874, 10)
('Colin Hamilton', 'WIZARD', 'ELF', 1862, 5)
('Teresa Garcia', 'FIGHTER', 'HUMAN', 17354, 2)
('Darrell Farrell', 'ARTIFICER', 'TIEFLING', 15676, 20)
('Danielle Grant', 'DRUID', 'HUMAN', 18570, 9)
('Madison Bishop', 'ARTIFICER', 'DRAGONBORN', 19827, 8)
('Kevin Adams', 'BARD', 'GNOME', 19735, 18)
('Nichole Roman', 'BARBARIAN', 'DRAGONBORN', 34, 10)
('Jasmine Roberts', 'DRUID', 'HALF_ORC', 13036, 15)
('Roger Mccoy', 'SORCERER', 'ELF', 7, 18)
('Leslie Miles', 'WARLOCK', 'ELF', 5718, 11)
('Mrs. Maria Decker', 'CLERIC', 'DWARF', 14817, 1)
('Michael Mayo', 'BARD', 'DWARF', 17280, 8)
('Daniel Martinez', 'ARTIFICER', 'HALF_ORC', 9359, 20)
('Danielle Perry', 'WARLOCK', 'GNOME', 14653, 9)
('Antonio Stewart', 'WIZARD', 'DRAGONBORN', 5504, 12)
('Derek Ellis', 'WARLOCK', 'HALF_ELF', 2110, 10)
('Brian Joseph', 'ARTIFICER', 'HALF_ORC', 3486, 18)
('Jose Simpson', 'CLERIC', 'DRAGONBORN', 8061, 7)
('Katrina Hayes', 'BARBARIAN', 'DWARF', 13769, 2)
('Nicholas Sanders', 'BARD', 'HALF_ORC', 5554, 11)
('Jennifer Barnett', 'FIGHTER', 'ELF', 18605, 6)
('Randall Webb', 'ROGUE', 'HALF_ELF', 9454, 20)
('Gregory Sandoval', 'CLERIC', 'HUMAN', 16812, 2)
('David Martin', 'WIZARD', 'DWARF', 17243, 17)
('Brian Jacobs', 'DRUID', 'ELF', 18251, 9)
('Sarah Rhodes', 'BARD', 'TIEFLING', 4517, 16)
('Scott Craig', 'SORCERER', 'HUMAN', 15839, 2)
('Jeremy Jones', 'WARLOCK', 'ELF', 10092, 16)
('Christopher Monroe', 'MONK', 'HUMAN', 5085, 6)
('Angela Hernandez', 'CLERIC', 'DWARF', 8540, 7)
('Jennifer Fritz', 'BARD', 'DRAGONBORN', 11332, 10)
('Brandon Salazar', 'WIZARD', 'ELF', 17608, 19)
('Kevin Montgomery', 'ARTIFICER', 'HALFLING', 10144, 9)
('Brian Gallegos', 'ARTIFICER', 'ELF', 7813, 3)
('Brandon Bowen', 'WIZARD', 'HALFLING', 17815, 7)
('Teresa Murphy', 'ARTIFICER', 'HALF_ELF', 11516, 5)
('Joseph Morris', 'CLERIC', 'ELF', 7620, 6)
('Denise Lewis', 'FIGHTER', 'HALFLING', 1248, 5)
('Larry Moore', 'DRUID', 'ELF', 15743, 11)
('Ashley Williams', 'DRUID', 'DRAGONBORN', 921, 19)
('Ethan Odonnell', 'PALADIN', 'ELF', 9495, 7)
('Adam Wallace', 'BARBARIAN', 'HALF_ELF', 10038, 3)
('Nathan Stone', 'MONK', 'HUMAN', 1121, 20)
('Justin Henry', 'BARBARIAN', 'HALF_ORC', 16978, 16)
('Rodney Lopez', 'WARLOCK', 'HALF_ORC', 11421, 19)
('Veronica Gibson', 'RANGER', 'HALF_ORC', 1972, 11)
('Nicholas Deleon', 'BARBARIAN', 'DWARF', 5650, 20)
('Marc Walker', 'ARTIFICER', 'HALFLING', 7669, 5)
('Nicholas Bass', 'CLERIC', 'HALF_ORC', 5389, 6)
('Elizabeth Simmons', 'DRUID', 'HALFLING', 15668, 2)
('Mark Ramsey', 'ARTIFICER', 'GNOME', 10899, 5)
('Cody Buck', 'DRUID', 'ELF', 1696, 15)
('Paula Taylor', 'ROGUE', 'HUMAN', 3117, 11)
('Natasha Johnson', 'FIGHTER', 'HALF_ELF', 12201, 14)
('Jessica Hamilton', 'RANGER', 'HUMAN', 9, 16)
('Jennifer Fuller', 'BARBARIAN', 'HALF_ELF', 15647, 6)
('Nathan Moore', 'CLERIC', 'HUMAN', 7540, 3)
('Shannon Moore', 'RANGER', 'DWARF', 14484, 12)
('Caroline Anderson MD', 'MONK', 'DRAGONBORN', 14002, 12)
('Samantha Marshall', 'DRUID', 'HALF_ORC', 9062, 8)
('Angel Myers', 'DRUID', 'HALF_ORC', 5441, 16)
('Nicholas Love', 'BARD', 'HUMAN', 12955, 2)
('Roy Carter', 'WIZARD', 'HALF_ELF', 7252, 20)
('Daniel Williams', 'MONK', 'DRAGONBORN', 4190, 9)
('Theodore Miller', 'PALADIN', 'DRAGONBORN', 17391, 7)
('Anna Griffin', 'FIGHTER', 'GNOME', 9099, 20)
('Amanda Richardson', 'ARTIFICER', 'GNOME', 19343, 10)
('Krista Bell', 'SORCERER', 'GNOME', 13558, 14)
('Todd Williamson', 'SORCERER', 'HALFLING', 6521, 5)
('Kathryn Young', 'WARLOCK', 'DWARF', 14453, 15)
('Steve Huffman', 'MONK', 'HALFLING', 17205, 14)
('Brian Spencer', 'WIZARD', 'HALF_ELF', 4859, 9)
('Raymond Norris', 'MONK', 'GNOME', 12119, 3)
('Rachel Martinez', 'CLERIC', 'GNOME', 19754, 16)
('Peter Davis', 'WARLOCK', 'HALF_ORC', 12785, 13)
('Vickie Chavez', 'FIGHTER', 'TIEFLING', 19203, 18)
('Melissa Villarreal', 'MONK', 'DWARF', 14630, 10)
('Denise Joseph', 'WIZARD', 'DRAGONBORN', 12288, 1)
('David Adams', 'ARTIFICER', 'HALF_ELF', 19799, 2)
('Lori Jackson', 'ROGUE', 'HALF_ORC', 13211, 4)
('Leah Pittman', 'CLERIC', 'DRAGONBORN', 10051, 2)
('Joseph Cooper', 'CLERIC', 'GNOME', 7589, 17)
('Mary Stone', 'PALADIN', 'ELF', 16508, 16)
('Dana Booker', 'ARTIFICER', 'HALF_ELF', 9302, 19)
('Michael Fuller', 'CLERIC', 'HALF_ELF', 7178, 7)
('Annette Dodson', 'SORCERER', 'TIEFLING', 17603, 11)
('Denise Oliver', 'BARD', 'TIEFLING', 6371, 3)
('Brittney Carson', 'WARLOCK', 'DWARF', 11265, 12)
('Lisa Turner', 'DRUID', 'DRAGONBORN', 18932, 11)
('Morgan Glass', 'BARBARIAN', 'TIEFLING', 2908, 18)
('Nathan Rios', 'MONK', 'DWARF', 14043, 10)
('Jeffrey Spence', 'CLERIC', 'HALF_ORC', 10139, 14)
('Keith Rice', 'PALADIN', 'HUMAN', 6919, 20)
('Kathryn Smith', 'RANGER', 'HALFLING', 1560, 16)
('Tracy Church', 'SORCERER', 'HUMAN', 14903, 10)
('Vanessa Olson', 'MONK', 'DRAGONBORN', 13891, 17)
('Anthony Pierce', 'FIGHTER', 'ELF', 13420, 10)
('Seth Moore', 'BARD', 'GNOME', 16027, 3)
('Barbara Duffy', 'CLERIC', 'HALF_ELF', 18197, 16)
('Mark Russell', 'WIZARD', 'DWARF', 4705, 16)
('Shelby Gonzales', 'FIGHTER', 'DWARF', 7089, 8)
('Christopher Adams', 'ROGUE', 'HALF_ORC', 4510, 3)
('Diane Haynes', 'FIGHTER', 'HUMAN', 8916, 16)
('Carolyn Simmons', 'BARBARIAN', 'HALF_ELF', 10863, 19)
('Benjamin Phillips', 'CLERIC', 'TIEFLING', 3499, 12)
('Denise Avila', 'BARD', 'TIEFLING', 11271, 15)
('Joseph Gonzalez', 'MONK', 'DWARF', 10785, 11)
('Misty Cline', 'PALADIN', 'TIEFLING', 1385, 12)
('Brandi Caldwell', 'MONK', 'TIEFLING', 9631, 7)
('Sophia Fletcher', 'CLERIC', 'HALFLING', 16016, 20)
('Michael Oconnor', 'RANGER', 'HALF_ELF', 18966, 14)
('Krista Johnson', 'CLERIC', 'HALF_ELF', 14824, 17)
('Michael Flores', 'DRUID', 'HUMAN', 17150, 3)
('Rita Gordon', 'BARBARIAN', 'HALF_ELF', 14038, 19)
('Christopher Young', 'ARTIFICER', 'DWARF', 11748, 3)
('Michael Hernandez', 'MONK', 'ELF', 15006, 7)
('Dennis Taylor', 'FIGHTER', 'TIEFLING', 18679, 9)
('Kelsey Harris', 'RANGER', 'DWARF', 19954, 10)
('Allison Robinson DDS', 'WIZARD', 'HUMAN', 4063, 13)
('Christopher Smith DDS', 'ROGUE', 'HALF_ELF', 2902, 10)
('Steven Walls', 'DRUID', 'HALF_ELF', 1759, 7)
('Edward Gonzales', 'DRUID', 'HALFLING', 16441, 5)
('Ethan Nguyen', 'PALADIN', 'ELF', 9234, 6)
('Steven Harris', 'FIGHTER', 'TIEFLING', 13948, 3)
('Katie Wise', 'PALADIN', 'TIEFLING', 17544, 3)
('Jamie Carr', 'WIZARD', 'DWARF', 11526, 17)
('Rodney Henry', 'SORCERER', 'HALFLING', 8869, 17)
('Julie Mason', 'WARLOCK', 'HALFLING', 19897, 7)
('Mariah Johnson', 'BARBARIAN', 'HUMAN', 2197, 7)
('Patrick Crawford', 'ROGUE', 'TIEFLING', 1659, 8)
('Danielle Jones', 'ARTIFICER', 'ELF', 12200, 8)
('Brenda Hunter', 'WIZARD', 'HALF_ELF', 15462, 9)
('Kimberly Bradley', 'BARD', 'HALFLING', 2627, 16)
('James Ryan', 'BARBARIAN', 'HALFLING', 1128, 15)
('Carolyn Flores', 'DRUID', 'DRAGONBORN', 15710, 12)
('Francisco Elliott', 'ROGUE', 'HALF_ELF', 521, 15)
('Jenna Black', 'ROGUE', 'HALFLING', 14897, 4)
('Timothy Matthews', 'CLERIC', 'DWARF', 4606, 10)
('Sharon Bailey', 'PALADIN', 'TIEFLING', 3851, 20)
('Joseph Anderson', 'BARBARIAN', 'DWARF', 13469, 4)
('Jennifer James', 'DRUID', 'HALF_ORC', 3755, 14)
('Dustin Brewer', 'PALADIN', 'GNOME', 7945, 15)
('Gail Wheeler', 'WARLOCK', 'HALFLING', 8731, 11)
('Sherry Fernandez', 'CLERIC', 'HALFLING', 18625, 11)
('Alexander Wilson', 'WARLOCK', 'DWARF', 19347, 6)
('Ashley Summers', 'BARBARIAN', 'ELF', 7949, 4)
('Amber Conway', 'BARBARIAN', 'HALF_ELF', 17116, 4)
('David Munoz', 'WARLOCK', 'HALF_ELF', 17110, 8)
('Tammie Orr', 'PALADIN', 'HUMAN', 7659, 20)
('Cynthia Duarte', 'CLERIC', 'GNOME', 14152, 8)
('Michael Obrien', 'WARLOCK', 'HALFLING', 18207, 7)
('Micheal Williams', 'BARBARIAN', 'DRAGONBORN', 676, 1)
('David Rivera', 'WARLOCK', 'HALF_ORC', 5493, 9)
('Bradley White', 'WARLOCK', 'DRAGONBORN', 241, 1)
('Jennifer Massey', 'RANGER', 'DWARF', 9158, 16)
('Alexis Stanton', 'BARD', 'HALFLING', 9718, 15)
('Robert Roach', 'PALADIN', 'HALF_ORC', 8443, 17)
('Justin Garrison', 'PALADIN', 'HALF_ELF', 4085, 12)
('Christopher Rollins', 'BARBARIAN', 'HALF_ELF', 8800, 15)
('Douglas Hicks', 'WIZARD', 'GNOME', 3330, 3)
('Michael Higgins', 'RANGER', 'TIEFLING', 16706, 10)
('Diane Austin', 'DRUID', 'HALF_ELF', 13766, 6)
('Brittney Cooper', 'CLERIC', 'HUMAN', 7347, 10)
('Cody Montoya', 'WIZARD', 'GNOME', 14261, 6)
('Melissa Thomas', 'WIZARD', 'HUMAN', 13253, 9)
('Roberto Martin', 'CLERIC', 'HALFLING', 11728, 16)
('Deborah Cooper', 'RANGER', 'TIEFLING', 12902, 15)
('Shannon Weaver', 'PALADIN', 'HALFLING', 5942, 19)
('Daniel Fry', 'WARLOCK', 'HALFLING', 15079, 15)
('Erin Rivera', 'BARD', 'HUMAN', 10468, 7)
('Phillip Stephenson', 'WIZARD', 'DWARF', 16001, 11)
('Gary Rogers', 'SORCERER', 'DWARF', 7140, 20)
('Mathew Stevenson', 'DRUID', 'ELF', 19940, 4)
('Bryan Thomas', 'PALADIN', 'ELF', 17171, 9)
('Bryan Mills', 'DRUID', 'DWARF', 6277, 1)
('Daniel Nolan', 'BARBARIAN', 'DRAGONBORN', 5621, 16)
('Juan Shah', 'ROGUE', 'HALF_ORC', 7286, 2)
('Jessica Johnson', 'ARTIFICER', 'HALF_ELF', 3704, 19)
('Sean Le', 'WIZARD', 'HALFLING', 6190, 20)
('Terrance Melendez', 'WIZARD', 'HALFLING', 7662, 14)
('Daniel Daniel', 'ARTIFICER', 'HALFLING', 14515, 4)
('Heather Hines', 'MONK', 'GNOME', 10081, 10)
('Bruce Sanchez', 'FIGHTER', 'ELF', 852, 2)
('Mrs. Jennifer Bell', 'CLERIC', 'HALF_ORC', 19907, 18)
('Erin Robinson', 'DRUID', 'GNOME', 1235, 3)
('Mrs. Amber Bruce', 'SORCERER', 'HALF_ELF', 751, 1)
('Jennifer Duran', 'SORCERER', 'GNOME', 11800, 7)
('William Morrison', 'ARTIFICER', 'HALFLING', 10136, 12)
('Elizabeth Vincent', 'BARD', 'HALF_ELF', 18949, 12)
('Jesse Frank', 'PALADIN', 'TIEFLING', 8320, 13)
('Katherine Acevedo', 'WIZARD', 'HALF_ORC', 6974, 6)
('Andrea Bailey', 'DRUID', 'HUMAN', 8805, 12)
('Mr. Charles Brown', 'RANGER', 'ELF', 7701, 7)
('Norma Hull', 'BARD', 'DWARF', 15988, 18)
('Roger Miles', 'PALADIN', 'GNOME', 6960, 20)
('Kyle Bartlett', 'RANGER', 'HALFLING', 9190, 14)
('Patrick Moon', 'CLERIC', 'HALFLING', 12719, 12)
('Joseph Johnson', 'ARTIFICER', 'HUMAN', 3554, 10)
('Anthony Lopez', 'MONK', 'DRAGONBORN', 15720, 1)
('Jeffrey Harvey', 'SORCERER', 'HALF_ELF', 9671, 10)
('Cole Brown', 'MONK', 'TIEFLING', 9791, 16)
('Adam Barrera', 'MONK', 'ELF', 8304, 3)
('Ricardo Barron', 'PALADIN', 'HALFLING', 8274, 5)
('Vincent Harvey', 'CLERIC', 'HALF_ORC', 17023, 5)
('Mr. Michael Travis', 'ROGUE', 'GNOME', 18889, 14)
('Savannah Martinez', 'WIZARD', 'ELF', 18485, 2)
('Steven Hart', 'BARBARIAN', 'TIEFLING', 2518, 18)
('Heather Wilson', 'CLERIC', 'HALFLING', 11578, 20)
('Dr. Mark Phelps MD', 'DRUID', 'GNOME', 1252, 6)
('Nathan Jones', 'WARLOCK', 'HALFLING', 7490, 11)
('Candace Lam', 'FIGHTER', 'DWARF', 1595, 20)
('Ashley Yang', 'MONK', 'HUMAN', 14685, 15)
('David Hall', 'PALADIN', 'HUMAN', 11750, 8)
('Marcus Miller', 'ARTIFICER', 'GNOME', 7510, 16)
('Bryan Dalton', 'DRUID', 'DWARF', 754, 6)
('Jennifer Nelson', 'WIZARD', 'ELF', 3035, 1)
('Lisa Walsh', 'PALADIN', 'HALF_ELF', 5025, 8)
('Matthew Hoover', 'MONK', 'DWARF', 4512, 18)
('Mark Spence', 'DRUID', 'DWARF', 17833, 17)
('Rebecca Park', 'DRUID', 'HALF_ELF', 9803, 17)
('Jacob Fleming', 'BARD', 'HUMAN', 11018, 18)
('Frank Green', 'DRUID', 'GNOME', 3758, 8)
('Kristina Hunt', 'RANGER', 'DRAGONBORN', 12895, 15)
('Krista Cortez', 'RANGER', 'DRAGONBORN', 775, 9)
('Daniel Hernandez', 'CLERIC', 'HALF_ELF', 10355, 13)
('Julie Lewis', 'SORCERER', 'DWARF', 2680, 9)
('Brittany Freeman', 'MONK', 'HALFLING', 3767, 1)
('Cynthia Wilson', 'WIZARD', 'HALFLING', 9119, 3)
('Cheyenne Moreno', 'PALADIN', 'GNOME', 9690, 15)
('Mark Davila', 'WARLOCK', 'HALF_ELF', 10081, 20)
('Andrea Moore', 'CLERIC', 'HALF_ELF', 13944, 19)
('Lucas Patrick', 'SORCERER', 'HALF_ELF', 1229, 10)
('Tina Hubbard MD', 'FIGHTER', 'HALF_ORC', 8187, 1)
('Colin White', 'DRUID', 'GNOME', 4552, 19)
('Michael Koch', 'CLERIC', 'DRAGONBORN', 19654, 16)
('Elizabeth Sexton', 'BARD', 'HALFLING', 1527, 13)
('John Blackburn', 'DRUID', 'DRAGONBORN', 2536, 7)
('Jeremy Hill', 'FIGHTER', 'ELF', 5987, 17)
('Amanda Hughes', 'ARTIFICER', 'DRAGONBORN', 6041, 3)
('Brittany David', 'BARD', 'TIEFLING', 1031, 6)
('Troy Wall', 'ARTIFICER', 'GNOME', 9458, 7)
('Michael Shaw', 'DRUID', 'HALFLING', 15346, 10)
('Miss Amanda Mills', 'ROGUE', 'HALF_ORC', 16664, 19)
('David Lowery', 'DRUID', 'GNOME', 20, 11)
('Julie Blake', 'FIGHTER', 'TIEFLING', 5275, 13)
('Joseph Watson', 'WARLOCK', 'HALF_ORC', 13646, 15)
('Ronald Park', 'RANGER', 'TIEFLING', 3862, 17)
('Amanda Fowler', 'FIGHTER', 'TIEFLING', 4432, 8)
('Emma Wilson', 'MONK', 'DWARF', 3219, 5)
('Jack Nicholson', 'PALADIN', 'HALF_ELF', 16522, 17)
('Richard Yates', 'MONK', 'HALF_ELF', 19505, 14)
('Allen Moore', 'WIZARD', 'HALF_ELF', 9545, 12)
('Elizabeth Walker', 'ROGUE', 'ELF', 9685, 7)
('Daisy Murphy', 'WARLOCK', 'HALFLING', 2235, 10)
('Calvin Williams', 'WARLOCK', 'ELF', 7846, 20)
('Dawn Herman', 'CLERIC', 'HALF_ORC', 14307, 10)
('John Gregory', 'DRUID', 'HALF_ELF', 7079, 13)
('Chad Conner', 'WIZARD', 'HALFLING', 11362, 9)
('Luke Gregory', 'PALADIN', 'HALF_ELF', 16820, 11)
('Michelle Shaw DDS', 'DRUID', 'GNOME', 7517, 3)
('Alejandro Kelly', 'PALADIN', 'GNOME', 15559, 17)
('Ellen Mason', 'BARBARIAN', 'TIEFLING', 19589, 3)
('Cheryl Welch', 'WIZARD', 'HALF_ELF', 14392, 2)
('Thomas Brown', 'WARLOCK', 'HUMAN', 6391, 15)
('Grant Smith', 'MONK', 'HALF_ELF', 13507, 5)
('Lisa Braun', 'MONK', 'GNOME', 2874, 17)
('Russell Nunez', 'BARD', 'HALF_ORC', 9094, 17)
('Ashley Carter', 'FIGHTER', 'HUMAN', 14790, 4)
('Cynthia Quinn', 'PALADIN', 'ELF', 6971, 4)
('Alicia Yates', 'ARTIFICER', 'TIEFLING', 3897, 9)
('Sara Meyer', 'MONK', 'HUMAN', 16225, 13)
('Linda Ellis', 'CLERIC', 'ELF', 3611, 16)
('Larry Fisher', 'RANGER', 'HALF_ORC', 2394, 11)
('Stacy Johnson', 'FIGHTER', 'DWARF', 9404, 17)
('Steven Baker', 'BARD', 'DRAGONBORN', 17084, 7)
('Lisa Jones', 'ARTIFICER', 'HALF_ORC', 8684, 4)
('Leah Fields', 'PALADIN', 'TIEFLING', 18254, 8)
('Andrew Powell', 'WIZARD', 'DWARF', 12470, 9)
('Dwayne Kirby', 'CLERIC', 'HALF_ELF', 1454, 6)
('Thomas Graham', 'PALADIN', 'HALF_ELF', 6989, 15)
('Anthony Sellers', 'CLERIC', 'HALF_ELF', 15472, 15)
('John Wilkins', 'ARTIFICER', 'DRAGONBORN', 18722, 17)
('Angela Sweeney', 'CLERIC', 'ELF', 15415, 18)
('Anna Jones', 'RANGER', 'ELF', 9734, 16)
('Victor Fisher', 'WARLOCK', 'DWARF', 18623, 5)
('Gina Carpenter', 'ROGUE', 'HUMAN', 9510, 14)
('Danielle Owens', 'FIGHTER', 'HUMAN', 8256, 6)
('Jessica White', 'BARD', 'GNOME', 16840, 14)
('Amanda Sanchez', 'RANGER', 'HALF_ORC', 16059, 3)
('Andrew Cooke', 'SORCERER', 'TIEFLING', 150, 6)
('Kathleen Santos', 'FIGHTER', 'ELF', 18300, 15)
('Justin Webb', 'CLERIC', 'ELF', 2535, 2)
('Katrina Horn', 'RANGER', 'HALF_ELF', 12948, 4)
('Anthony Mckinney', 'FIGHTER', 'HALFLING', 15736, 12)
('Kara Wilson', 'WIZARD', 'DRAGONBORN', 18866, 16)
('Duane Lowe', 'MONK', 'TIEFLING', 19421, 16)
('Frank Moore', 'FIGHTER', 'HALF_ELF', 11730, 1)
('Craig Chang', 'FIGHTER', 'HUMAN', 11486, 19)
('Andrea Bush', 'ARTIFICER', 'DRAGONBORN', 18378, 11)
('Joel Hernandez', 'FIGHTER', 'GNOME', 8263, 15)
('Erin Mccarthy', 'DRUID', 'HALFLING', 9253, 7)
('Jody Thompson', 'ROGUE', 'ELF', 4175, 7)
('Tiffany Kim', 'ROGUE', 'TIEFLING', 18425, 1)
('Richard Sanchez', 'CLERIC', 'TIEFLING', 16131, 11)
('Donna Ortiz', 'MONK', 'DRAGONBORN', 14209, 16)
('Julie Garza', 'ARTIFICER', 'TIEFLING', 671, 9)
('Kimberly Brown', 'SORCERER', 'ELF', 18688, 3)
('Becky Thompson', 'WIZARD', 'TIEFLING', 8954, 14)
('Joseph Jones', 'PALADIN', 'HUMAN', 1281, 15)
('Douglas Khan', 'ARTIFICER', 'DWARF', 7547, 8)
('Danielle Phillips', 'WARLOCK', 'HUMAN', 8600, 12)
('Ronald Mills', 'BARD', 'DWARF', 1206, 9)
('Tabitha Nguyen', 'WARLOCK', 'HALF_ORC', 10370, 3)
('David Brown', 'WIZARD', 'HALF_ORC', 3307, 1)
('Richard Lee', 'ARTIFICER', 'TIEFLING', 8672, 10)
('Katie Ho', 'CLERIC', 'DWARF', 2215, 1)
('Crystal Duarte', 'FIGHTER', 'TIEFLING', 8200, 9)
('Maria Rice', 'ARTIFICER', 'DWARF', 7683, 6)
('Shelly Munoz', 'WIZARD', 'HALF_ORC', 6300, 5)
('Christopher Bishop', 'SORCERER', 'TIEFLING', 2442, 4)
('Trevor Moreno', 'RANGER', 'HALFLING', 11703, 8)
('Michael Phillips', 'WIZARD', 'ELF', 11849, 8)
('Robert Harris', 'RANGER', 'HALF_ELF', 16906, 15)
('John Potter', 'FIGHTER', 'HALF_ORC', 16399, 8)
('Rodney Acosta', 'FIGHTER', 'ELF', 2909, 5)
('Victoria Sherman', 'SORCERER', 'HUMAN', 17088, 18)
